Name,Address,City,State,Zip
101 Beer Kitchen,1200 S Rangeline Rd Suite 100,Carmel,IN,46032
14 Districts,736 Hanover Place,Carmel,IN,46032
Afterglow Market,846 S Rangeline Rd,Carmel,IN,46032
Agave Bar & Grill,31 E Main St,Carmel,IN,46032
Al Azhar Foundation,815 W Carmel Dr,Carmel,IN,46032
Al Hikmah Islamic Center,1800 W 57th St,Indianapolis,IN,46228
Al Salam Foundation,9551 Valparaiso Ct,Indianapolis,IN,46268
ALDI,14620 Greyhound Plaza,Carmel,IN ,46032
ALDI,10584 Workout Way,Carmel,IN ,46032
Alexandria of Carmel Apartments,1411 Fairfax Manor Dr,Carmel,IN,46032
Ali'i Poke Carmel,12545 Old Meridian St #120,Carmel,IN,46032
Anthonys Chophouse,201 W Main St,Carmel,IN,46032
Anytime Fitness,110 W Main St #170,Carmel,IN,46032
Ascension St. Vincent Hospital,1185 W Carmel Dr,Carmel ,IN ,46032
Athletico Carmel,12505 Old Meridian St. Ste. 150,Carmel,IN,46032
ATI Physical Therapy,9302 N Meridian St Ste 190,Indianapolis,IN,46260
ATI Physical Therapy,10485 N Michigan Rd 110 & #120,Carmel,IN,46032
ATI Physical Therapy,4765 126th St,Carmel,IN,46033
ATI Physical Therapy,14641 Thatcher Ln STE 17,Carmel,IN,46032
Avant Apartments,12890 Old Meridian St,Carmel,IN,46032
Bakes of Carmel,11739 Harvard Ln,Carmel,IN,46032
Bash Boutique,30 N Rangeline Rd,Carmel,IN,46032
Bazbeaux Pizza,111 W Main St,Carmel,IN,46032
Behn Gallery,2149 Glebe St Suite 100,Carmel,IN,46032
BenchMark Physical Therapy,14580 River Rd Ste 170,Carmel,IN,46033
Berkshire Hathaway,3801 E 82nd St,Indianapolis,IN,46240
Bethlehem Lutheran Church,1484 W Main St,Carmel,IN,46032
Boardwalk shops,718 Adams St,Carmel,IN,46032
Bridgewater Club,3535 E 161st St,Carmel,IN,46033
Bridgewater Healthcare Center,14751 Carey Rd,Carmel,IN,46032
Brookshire Golf Club,12120 Brookshire Pkwy,Carmel,IN,46033
Brookshire Village Shoppes,4721 E 126th St,Carmel,IN,46033
BRU Burger Bar,12901 Old Meridian St,Carmel ,IN,46032
Brunchies,13732 N Meridian St,Carmel ,IN,46032
Cafe Patachou,5790 E Main St,Carmel,IN,46032
Cafe Patachou Clay Terrace,14390 Clay Terrace Blvd,Carmel ,IN,46032
Caffé Buondí,11529 Spring Mill Rd,Carmel ,IN,46032
Caliente Mexican Restaurant,1400 S Guilford Rd,Carmel,IN,46032
Carmel Art Education Studio,12749 Meeting House Rd Suite 120,Carmel,IN,46032
Carmel Christian Church,463 E Main St,Carmel,IN,46032
Carmel Clay Public Library,12770 Horseferry Rd,Carmel,IN,46032
Carmel Design Center,11555 N Meridian St # 120,Carmel,IN,46032
Carmel Friends Church,651 W Main St,Carmel,IN,46032
Carmel High School,520 E Main St,Carmel,IN,46032
Carmel Marketplace,502 E Carmel Dr,Carmel,IN,46032
Carmel Old Town Antique Mall,1005 3rd Ave SW,Carmel,IN,46032
Carmel Total Fitness,820 City Center Dr,Carmel,IN,46032
Carmel United Methodist Church,621 S Rangeline Rd,Carmel,IN,46032
Carpenter Realtors Broad Ripple,6101 N College Ave,Indianapolis,IN,46220
Carpenter Realtors Carmel,790 City Center Dr,Carmel,IN,46260
CCA Gallery,111 W Main St #135,Carmel,IN,46032
Central Dog Park,1427 E 116th St,Carmel,IN,46032
Central Park,1235 Central Park Dr E,Carmel,IN,46032
Century 21 Scheetz,270 E Carmel Dr,Carmel,IN,46032
Charleston's Restaurant,14636 Greyhound Plaza,Carmel,IN,46032
Chernoff and Associates,9002 N Meridian St suite 205,Indianapolis,IN,46260
Chico's,14390 Clay Terrace Blvd Suite 110,Carmel,IN,46032
Christ Community Church,4770 E Main St,Carmel,IN,46033
Circle Real Estate,30 W Main St,Carmel,IN,46032
Classic Cakes,1752 E 116th St,Carmel,IN,46032
Community Health Pavilion Carmel,11911 N Meridian St,Carmel ,IN ,46032
Convivio Italian Artisan Cuisine,11529 Spring Mill Rd Suite #300,Carmel,IN,46032
Cooper's Hawk Winery & Restaurant,3815 E 96th St,Indianapolis,IN,46240
Coxhall Gardens,11677 Towne Rd,Carmel,IN,46032
Cretia Cakes Bake Shop,1435 Chase Ct,Carmel,IN,46032
Crooked Stick Golf Club,1964 Burning Tree Ln,Carmel,IN,46032
Divvy,71 City Center Dr,Carmel,IN,46032
Drees Homes Albany Village,14399 Kelso Court,Carmel,IN,46074
Dry Goods,14405 Clay Terrace Blvd,Carmel,IN,46032
Eggshell Bistro,51 City Center Dr,Carmel ,IN,46032
Encore Sothebys International Realty,12710 Meeting House Rd #100,Carmel,IN,46032
Epps Elson Team - eXp - domi Agency,200 S Rangeline Rd #129,Carmel,IN ,46032
EVEREVE,14395 Clay Terrace Blvd #120,Carmel,IN,46032
Fat Dan's Chicago-Style Deli - Carmel,840 W Main St,Carmel,IN,46032
FC Tucker Real estate,9277 N Meridian St,Indianapolis,IN,46260
Fire & Flow Yoga,301 E Carmel Dr Suite D 200,Carmel,IN,46032
First Watch,1950-15 E Greyhound Pass,Carmel,IN,46032
Flowing Well Park,5100 E 116th St,Carmel,IN,46033
Fork and Ale House,350 Veterans Wy #150,Carmel,IN,46032
Forney Group by Livian,9800 Crosspoint Blvd Suite 200,Indianapolis,IN ,46256
Foster Estates Clubhouse,3131 Maralice Dr,Carmel,IN,46033
Franciscan Health Outpatient,12188-B N Meridian St,Carmel,IN,46032
Fresh Thyme Market,14727 Fresh Thyme Market Dr,Carmel,IN,46033
Garden Table,350 Monon Blvd,Carmel,IN,46032
Genesis Church,13200 Old Meridian St,Carmel,IN,46032
Get Right Physical Therapy,820 City Center Dr,Carmel,IN,46032
Gramercy West  David Weekley Homes,998 Kinzer Ave,Carmel,IN,46032
Grille 39,11925 N Meridian St,Carmel,IN ,46032
Handels Homeade Ice Cream,2466 E 146th St,Carmel,IN,46033
Harrison Park,1803-1817 Broughton St,Carmel,IN,46032
Harry & Izzy's,4050 E 82nd St,Indianapolis,IN,46250
Helen Coffee Shop,201 W Main St Suite 100,Carmel,IN,46032
Holy Trinity Greek Orthodox Cathedral,3500 W 106th St,Carmel,IN,46032
Hoosier - REALTORS,6225 S Franklin Rd,Indianapolis,IN,46259
Hotel Carmichael Autograph Collection,1 Carmichael Square,Carmel,IN,46032
Iglesia Amistad Cristiana,761 N Rangeline Rd,Carmel,IN,46032
Indiana Spine Group,13225 N Meridian St,Carmel,IN,46032
Indy Roasters,220 E Main St,Carmel,IN,46032
Indy's Home Team,11555 N Meridian St,Carmel,IN,46032
Ironworks Hotel Indy,2721 E 86th St,Indianapolis,IN,46240
IU Health North Rehab Services,11700 N Meridian St,Carmel,IN,46032
IU Health Physical Therapy & Rehabilitation,2476 E 116th St G-100,Carmel,IN,46032
Java House,145 W Elm St Ste 100,Carmel,IN,46032
Juniper on Main,110 E Main St,Carmel,IN,46032
Just Love Coffee Café,12525 Old Meridian St,Carmel,IN,46032
Keller Williams North,11550 N Meridian St Suite 450,Carmel,IN,46032
King Dough,12505 Old Meridian St Suite 170,Carmel,IN,46032
Kizuki Ramen & Izakaya,2450 E 146th St,Carmel,IN,46033
Kona Grill,14395 Clay Terrace Blvd,Carmel,IN,46032
Kroger,1217 S Rangeline Rd,Carmel,IN ,46032
Kuaba Gallery,404 W Main St,Carmel,IN,46032
Kurr Med Spa,222 W Main St,Carmel,IN,46032
LA Fitness,10574 Workout Way,Carmel,IN,46032
Le Macaron French Pastries,14550 Clay Terrace Blvd #115,Carmel,IN,46032
Le Peep,200 S Rangeline Rd,Carmel ,IN,46032
Le Petit Gateau,525 N End Dr,Carmel,IN,46032
Lenape Trace Park,9602 Westfield Blvd,Carmel,IN,46032
Lily & Sparrow Boutique,724 S Rangeline Rd,Carmel,IN,46032
Living Truth Church Carmel,530 W Carmel Dr,Carmel,IN,46032
Magdalena Gallery of Arts,27 E Main St #100,Carmel,IN,46032
Mark Dietel Realty,6425 S East St,Indianapolis,IN ,46227
Market District,11505 Illinois St,Carmel,IN,46032
Mary Johnston Studio,27 E Main St #300,Carmel,IN,46032
Marys Mountain Cookies,110 W Main St,Carmel,IN,46032
Matt the Millers,11 City Center Dr,Carmel,IN,46032
MCL Cafeteria,1390 Keystone Way,Carmel,IN,46032
Meijer,1424 W Carmel Dr,Carmel,IN,46032
Mercy Road Church,2381 Pointe Pkwy,Carmel,IN,46032
Mezz 42,881 3rd Ave SW,Carmel,IN,46032
Midtown Plaza Carmel,365 Monon Blvd,Carmel,IN,46032
Monon Center,1195 Central Park Dr W,Carmel,IN,46032
Monon Community Center,1195 Central Park Dr W,Carmel,IN,46032
Monterey Cuisine Restaurant,110 W Main St Suite 135,Carmel,IN,46032
MOTW Coffee and Pastries,12761 Old Meridian St,Carmel,IN,46032
Muldoon's on Main,111 W Main St Suite 100,Carmel,IN,46032
Muse Carmel,1685 E 116th St,Carmel,IN,46032
Needler's Fresh Market,4755 126th St,Carmel,IN,46033
Niemann Harvest Market,2140 E 116th St,Carmel,IN ,46032
No Label At The Table,145 W Main St Suite 145,Carmel,IN,46032
North End Apartments,525 N End Dr,Carmel,IN,46032
One 2 One Physical Therapy,1077 3rd Ave SW,Carmel,IN,46032
Orangetheory Fitness,4000 W 106th St #145,Carmel,IN,46032
OrthoIndy ,805 W Carmel Dr,Carmel ,IN ,46032
Our Lady of Mount Carmel,14598 Oak Ridge Rd,Carmel,IN,46032
Palladium at the Center for Performing Arts,1 Carter Green,Carmel,IN,46032
Patanjali Yoga 21 Studio,20 Executive Dr,Carmel,IN,46032
Peace Water Winery,37 W Main St,Carmel,IN,46032
Physical Therapy and Rehab of Carmel,11911 N Meridian St Ste 170,Carmel,IN,46032
Pies & Pints,14550 Clay Terrace Blvd Suite 100,Carmel,IN,46032
Plum Creek Golf Club,12401 Lynnwood Blvd,Carmel,IN,46033
Prairie View Golf Club,7000 Longest Dr,Carmel,IN,46033
Prime 47,14300 Clay Terrace Blvd,Carmel,IN,46032
Pure Barre,726 Adams St,Carmel,IN,46032
Rad's,4733 126th St,Carmel,IN,46033
RE/MAX Advanced Realty,8313 W 10th St,Indianapolis,IN,46234
Realty ONE Group Dream,580 E Carmel Dr Suite 110,Carmel,IN,46032
Reforming Indy Pilates Studio,12505 Old Meridian St,Carmel,IN,46032
Restore Your Core Physical Therapy,2325 Pointe Pkwy Ste 150,Carmel,IN,46032
Ristorante Roma,89 Veterans Wy,Carmel,IN,46032
RIZE - Carmel,12957 Old Meridian St Suite 99,Carmel ,IN,46032
Rosies Place,1111 W Main St,Carmel,IN,46032
Ruths Chris Steak House,2727 E 86th St,Indianapolis,IN,46240
Sauce on the Side,12751 N Pennsylvania St Suite 130,Carmel,IN,46032
Savor Restaurant,211 W Main St Suite 102,Carmel ,IN,46032
Select Physical Therapy,6330 East 75th St Suite 116,Indianapolis,IN,46250
Serenade,1476 Sempre Wy,Westfield,IN,46074
Shelly Walters Realty Group,350 Veterans Wy,Carmel,IN,46032
Sigma Builders LLC,4630 Lisborn Dr,Carmel,IN,46033
SPENGA Carmel,14511 Clay Terrace Blvd Suite 150,Carmel,IN,46032
Sprinkle park,473 3rd Ave SW,Carmel,IN,46032
St Christopher's Episcopal Church,1402 W Main St,Carmel,IN,46032
St. Peters United Church of Christ,3106 E Carmel Dr,Carmel,IN,46033
Stacco House by Mammamia,834 W Main St,Carmel,IN,46032
Studio Upgrade,9860 N Michigan Rd,Carmel,IN,46032
Sugar Creek Winery,1111 W Main St #165,Carmel,IN,46032
Sunny Day Café,1430 W Carmel Dr Suite 130,Carmel,IN,46032
Sunrise on the Monon Apartments,1501 Starcross Ln,Carmel,IN,46280
Target Grocery,10401 N Michigan Rd,Carmel,IN ,46032
Target Grocery,1600 E 151st St,Carmel,IN ,46032
Team Rehabilitation Physical Therapy,12955 Old Meridian St Suite 101,Carmel,IN,46032
Team Rehabilitation Physical Therapy,12174 N Meridian St Suite 110,Carmel,IN,46032
The Cake Bake Shop,799 Hanover Place - Upper Deck - Hanover Place Suite 260,Carmel,IN,46032
The Carrie Holle Group - Compass Real Estate - Sophia Square,110 W Main St #130,Carmel,IN,46032
The Church of Jesus Christ of Latter-day Saints,11257 Temple Dr,Carmel,IN,46032
The Den by FoxGardin,351 Monon Blvd,Carmel,IN,46032
The Fashion Mall at Keystone,8702 Keystone Crossing,Indianapolis,IN,46240
The Flying Cupcake,831 S Rangeline Rd # 300,Carmel,IN,46032
The Fresh Market,1392 S Rangeline Rd,Carmel,IN,46032
The Fresh Market,2490 E 146th St,Carmel,IN,46033
The Good Feet Store,3969 E 82nd St,Indianapolis,IN,46240
The Great Frame Up,21 1st St SW,Carmel,IN,46032
The Residences at Carmel City Center,720 S Rangeline Rd Suite 166,Carmel,IN,46032
The Restoracy of Carmel,616 Green House Wy,Carmel,IN,46032
The Sanctuary,820 E 67th St,Indianapolis,IN,46220
The Steadman Apartments at Carmel,11325 Spring Mill Rd,Carmel,IN,46032
The Village of West Clay,12884 Broad Street,Carmel,IN,46032
The Vue Luxury Apartments,718 E Georgia St,Indianapolis,IN,46202
The Well in Carmel,300 S Guilford Rd,Carmel,IN,46032
Traders Point Christian Church Carmel,1242 W 136th St,Carmel,IN,46032
Trinity Baptist Church,1010 126th St,Carmel,IN,46033
Trueblood Real Estate,571 Monon Blvd Suite 100,Carmel,IN,46032
Turkle and Associates,11455 N Meridian St #150,Carmel,IN ,46032
Twin Lakes Golf Club,3200 W 96th St,Carmel,IN,46032
Uptown Café,2271 Pointe Pkwy,Carmel,IN,46032
Viewpoint Realty Group,4000 W 106th St #125,Carmel,IN,46032
Village Park Plaza,2000 E Greyhound Pass,Carmel,IN,46032
Walmart Supercenter,2001 E 151st St,Carmel,IN ,46033
Waterstone Clubhouse,12046 Pebblepointe Pass,Carmel,IN,46032
West Eight Property Group,38 W Main St,Carmel,IN ,46032
West Park,2700 W 116th St,Carmel,IN,46032
Whole Foods Market,14598 Clay Terrace Blvd,Carmel,IN,46032
Wolfies Grill,1162 Keystone Wy,Carmel,IN,46032
Woodhouse Day Spa,2182 E 116th St,Carmel,IN,46032
Woodland Country Club,100 Woodland Ln,Carmel,IN,46032
Woodland Spring Clubhouse,3535 E 116th St,Carmel,IN,46033
Woodys Library Restaurant,40 E Main St,Carmel,IN,46032
YogaSix Carmel,11503 Spring Mill Rd Suite 700,Carmel,IN,46032
Zing! Cafe,12710 Meeting House Rd #150,Carmel,IN,46032
